molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50
CHEMBL68920,IC50,nM,41.0,IC50,uM,0.041,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.3872161432802645
CHEMBL69960,IC50,nM,170.0,IC50,uM,0.17,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.769551078621726
CHEMBL137635,IC50,nM,9300.0,IC50,uM,9.3,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.031517051446065
CHEMBL306988,IC50,nM,500000.0,IC50,uM,500.0,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,3.3010299956639813
CHEMBL66879,IC50,nM,3000000.0,IC50,uM,3000.0,O=C(O)/C=C/c1ccc(O)cc1,2.5228787452803374
CHEMBL77085,IC50,nM,96000.0,IC50,uM,96.0,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.017728766960432
CHEMBL443268,IC50,nM,5310.0,IC50,uM,5.31,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.274905478918531
CHEMBL76979,IC50,nM,264000.0,IC50,uM,264.0,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,3.5783960731301687
CHEMBL76589,IC50,nM,125.0,IC50,uM,0.125,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.903089986991944
CHEMBL76904,IC50,nM,35000.0,IC50,uM,35.0,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.455931955649724
CHEMBL1009,IC50,nM,900000.0,IC50,uM,900.0,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.0457574905606752
CHEMBL304271,IC50,nM,0.45,IC50,uM,0.00045,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.346787486224656
CHEMBL296407,IC50,nM,10000.0,IC50,uM,10.0,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.0
CHEMBL309625,IC50,nM,60000.0,IC50,uM,60.0,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.221848749616356
CHEMBL77825,IC50,nM,600000.0,IC50,uM,600.0,COc1ccc(NN=C(C#N)C#N)cc1,3.221848749616356
CHEMBL421877,IC50,nM,850000.0,IC50,uM,850.0,COc1cc(C=C(C#N)C#N)cc(OC)c1O,3.070581074285707
CHEMBL310798,IC50,nM,3000.0,IC50,uM,3.0,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.522878745280337
CHEMBL135592,IC50,nM,8000.0,IC50,uM,8.0,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,5.096910013008056
CHEMBL309866,IC50,nM,1300000.0,IC50,uM,1300.0,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,2.886056647693163
CHEMBL77381,IC50,nM,1360000.0,IC50,uM,1360.0,N#C/C(=C/c1ccc[nH]1)C(=O)O,2.8664610916297826
CHEMBL76602,IC50,nM,165000.0,IC50,uM,165.0,N#C/C(=C\c1ccc(O)cc1)C(=O)O,3.7825160557860937
CHEMBL77737,IC50,nM,250000.0,IC50,uM,250.0,N#CC(C#N)=Cc1ccncc1,3.6020599913279625
CHEMBL308134,IC50,nM,125000.0,IC50,uM,125.0,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,3.9030899869919438
CHEMBL136491,IC50,nM,14.0,IC50,uM,0.014,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.853871964321762
CHEMBL76557,IC50,nM,625000.0,IC50,uM,625.0,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,3.2041199826559246
CHEMBL336113,IC50,nM,1000.0,IC50,uM,1.0,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,6.0
CHEMBL133024,IC50,nM,100.0,IC50,uM,0.1,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.0
CHEMBL344652,IC50,nM,13350.0,IC50,uM,13.35,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,4.874518734299406
CHEMBL77814,IC50,nM,350000.0,IC50,uM,350.0,N#CC(C#N)=CNc1ccc(O)cc1,3.4559319556497243
CHEMBL47986,IC50,nM,14000.0,IC50,uM,14.0,O=CN/C=C/c1cc(O)ccc1O,4.853871964321762
CHEMBL138125,IC50,nM,238.0,IC50,uM,0.238,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.623423042943488
CHEMBL137364,IC50,nM,64.0,IC50,uM,0.064,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.1938200260161125
CHEMBL308339,IC50,nM,1400000.0,IC50,uM,1400.0,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,2.853871964321762
CHEMBL78174,IC50,nM,430000.0,IC50,uM,430.0,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,3.3665315444204134
CHEMBL302552,IC50,nM,22.0,IC50,uM,0.022,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.657577319177793
CHEMBL309598,IC50,nM,13500.0,IC50,uM,13.5,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,4.8696662315049934
