molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure
CHEMBL76587,IC50,nM,6500000.0,IC50,uM,6500.0,N#CC(C#N)Cc1ccc(O)cc1,2.1870866433571443,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFD2E0>,False,False
CHEMBL47940,IC50,nM,3200.0,IC50,uM,3.2,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,5.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFD350>,False,False
CHEMBL322395,IC50,nM,3000.0,IC50,nM,3000.0,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,5.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFF660>,False,False
CHEMBL322298,IC50,nM,200.0,IC50,uM,0.2,CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,6.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFF430>,False,False
CHEMBL111434,IC50,nM,670.0,IC50,uM,0.67,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(Br)c3)nc21,6.173925197299173,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFF350>,False,False
CHEMBL111197,IC50,nM,30.0,IC50,uM,0.03,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,7.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFF2E0>,False,False
CHEMBL111365,IC50,nM,1300.0,IC50,uM,1.3,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,5.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFF040>,False,False
CHEMBL113023,IC50,nM,250.0,IC50,uM,0.25,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,6.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF7BA0>,False,False
CHEMBL327127,IC50,nM,90.0,IC50,uM,0.09,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,7.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF75F0>,False,False
CHEMBL324926,IC50,nM,330.0,IC50,uM,0.33,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,6.481486060122113,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF7F90>,False,False
CHEMBL321193,IC50,nM,150.0,IC50,uM,0.15,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(O)c3)nc21,6.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF7820>,False,False
CHEMBL419022,IC50,nM,700.0,IC50,uM,0.7,CCOC(=O)CCCc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,6.154901959985743,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF77B0>,False,False
CHEMBL136511,IC50,nM,2.7,IC50,nM,2.7,C=CS(=O)(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.568636235841012,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF70B0>,False,False
CHEMBL44,IC50,nM,1000.0,IC50,uM,1.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6.0,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF7040>,False,False
CHEMBL104153,IC50,nM,220.0,IC50,uM,0.22,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,6.657577319177793,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF7B30>,False,False
CHEMBL50647,IC50,nM,220.0,IC50,uM,0.22,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccc(CC(=O)O)cc3)nc21,6.657577319177793,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF7900>,False,False
CHEMBL320705,IC50,nM,66.0,IC50,uM,0.066,COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,7.180456064458132,<rdkit.Chem.rdchem.Mol object at 0x000001D689DF7890>,False,False
CHEMBL109631,IC50,nM,190.0,IC50,uM,0.19,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(C(=O)O)c3)nc21,6.721246399047171,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFCF20>,False,False
CHEMBL325589,IC50,nM,510.0,IC50,uM,0.51,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21,6.292429823902063,<rdkit.Chem.rdchem.Mol object at 0x000001D689DFCD60>,False,False
