molecule_chembl_id,standard_type,standard_units,IC50,type,units,value,canonical_smiles,pIC50,ROMol,is_pains,has_unwanted_substructure
CHEMBL5398753,IC50,nM,98.0,IC50,nM,98.0,O=C(CSc1nc2ccccc2c(=O)n1CCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,7.008773924307505,<rdkit.Chem.rdchem.Mol object at 0x000001D6B7186660>,False,False
CHEMBL76587,IC50,nM,6500000.0,IC50,uM,6500.0,N#CC(C#N)Cc1ccc(O)cc1,2.1870866433571443,<rdkit.Chem.rdchem.Mol object at 0x000001D69A8EFCF0>,False,False
CHEMBL47940,IC50,nM,3200.0,IC50,uM,3.2,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,5.494850021680094,<rdkit.Chem.rdchem.Mol object at 0x000001D69A8EFC10>,False,False
CHEMBL322395,IC50,nM,3000.0,IC50,nM,3000.0,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,5.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000001D69A8EFBA0>,False,False
CHEMBL111197,IC50,nM,30.0,IC50,uM,0.03,COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,7.522878745280337,<rdkit.Chem.rdchem.Mol object at 0x000001D69670F740>,False,False
CHEMBL111365,IC50,nM,1300.0,IC50,uM,1.3,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,5.886056647693163,<rdkit.Chem.rdchem.Mol object at 0x000001D69ACF7890>,False,False
CHEMBL113023,IC50,nM,250.0,IC50,uM,0.25,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,6.6020599913279625,<rdkit.Chem.rdchem.Mol object at 0x000001D69ACF7A50>,False,False
CHEMBL327127,IC50,nM,90.0,IC50,uM,0.09,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,7.045757490560675,<rdkit.Chem.rdchem.Mol object at 0x000001D69ACF7900>,False,False
CHEMBL324926,IC50,nM,330.0,IC50,uM,0.33,COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1,6.481486060122113,<rdkit.Chem.rdchem.Mol object at 0x000001D68AD06820>,False,False
CHEMBL321193,IC50,nM,150.0,IC50,uM,0.15,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(O)c3)nc21,6.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x000001D68AD067B0>,False,False
